藥品代碼,商品名稱,藥品學名,藥品中文名,ATC_CODE1,藥品分類代碼說明,DC藥預設替代藥,盤點分類,衛署適應症,商品名
ABI02O,Abilify 5mg Tab#,ARIPIPRAZOLE,安立復(藍色略橢圓形)5毫克錠,N05AX12,口服藥,,口服,成人和青少年(13至17歲)的思覺失調症。成人和兒童(10至17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使用或做為鋰鹽或Valproate的輔助治療。第一型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。重鬱症之輔助 ...後略，請點選【藥品仿單】分頁查閱,ABILIFY
ABI03O,ABILIFY 15mg Tab#,ARIPIPRAZOLE,安立復(黃色圓形)15毫克錠,N05AX12,口服藥,,口服,成人和青少年(13至17歲)的思覺失調症。成人和兒童(10至17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使用或做為鋰鹽或Valproate的輔助治療。第一型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。重鬱症之輔助 ...後略，請點選【藥品仿單】分頁查閱,ABILIFY
ABI04I,Abilify maintena 400mg Syringe,ARIPIPRAZOLE,安立復美達持續性藥效肌肉注射用懸浮劑400毫克/小瓶,N05AX12,注射藥預設一份,,針劑,治療成人的思覺失調症。成人的第一型雙極性疾患維持治療之單一療法。,ABILIFY
ABI04O,Abiratred FC 250mg Tab,ABIRATERONE ACETATE,愛瑞治(白色橢圓形)膜衣錠,L02BX03,口服化學治療藥物,,口服,與prednisone或prednisolone併用，適用於治療下列病人：(1) 轉移性的去勢抗性前列腺癌 (CRPC)，且在雄性素去除療法失敗後屬無症狀或輕度症狀而尚未需要使用化學治療。 (2) 轉移性的去勢抗性前列腺癌，且已接受過doce ...後略，請點選【藥品仿單】分頁查閱,ABIRATRED
ACA01O,Acarose 50mg Tab#,ACARBOSE,降醣佳(白色圓凸形)50毫克錠,A10BF01,口服藥,,口服,非胰島素依賴型糖尿病之治療。,ACAROSE
ACA02O,A-Cal 500mg Tab,CALCIUM CARBONATE 500MG,佳立鈣(淡黃色圓扁形)錠,A02AC01,口服藥,,口服,緩解胃部不適或灼熱感、或經診斷為胃及十二指腸潰瘍、胃炎、食道炎所伴隨之胃酸過多。,A-CAL
ACD01I,ACD Solution-C Bot,"SODIUM CITRATE, CITRIC ACID",抗血液凝固枸櫞酸鹽葡萄糖液C,B05CB02,處置用藥,,針劑,血液保存,ACD
ACE01I,Acemycin 500mg/2ml Vial#,AMIKACIN SULFATE,時欣黴素250公絲/公撮注射液,J01GB06,注射藥,,針劑,對ＧＥＮＴＡＭＩＣＩＮ具耐藥性之綠膿菌、變形菌、鋸桿菌、大腸菌、克雷白氏桿菌、腸內桿菌、檸檬桿菌屬ＣＩＴＲＯＢＡＣＴＥＲ等對於ＡＭＩＫＡＣＩＮ具敏感性之細菌所引起之下列感染症：敗血症、支氣管擴張症之感 ...後略，請點選【藥品仿單】分頁查閱,ACEMYCIN
ACE02I,Acetamol 1gm Vial,PROPACETAMOL,舒疼消熱注射劑,N02BE05,注射藥,,針劑,在無法使用口服投藥方式時，用於疼痛或發燒之症狀治療。,ACETAMOL
ACE04O,Acemet 60mg Cap,ACEMETACIN,艾斯美特(鮮橙/白色長圓柱形)膠囊,M01AB11,口服藥,,口服,風濕性關炎、退化性關節炎（骨關節炎）、僵直性脊椎炎、痛風、肌肉炎、腱鞘炎、滑囊炎,ACEMET
ACE05O,Acetazolamide 250mg Tab,ACETAZOLAMIDE,乙醯氮胺片(白色圓扁形)錠劑,S01EC01,口服藥,,口服,青光眼及下列疾患之輔助治療：水腫、癲癇,ACETAZOLAMIDE
ACL01E,Aclovir Cream 5% 5gm,ACYCLOVIR,艾剋樂芙乳膏,D06BB03,外用預設一份,,外用,由單純庖疹引起之感染。,ACLOVIR
ACL01I,Aclasta 5mg/100ml Vial#,ZOLEDRONIC ACID,骨力強注射劑,M05BA08,注射藥,,針劑,治療骨佩吉特氏病 (Paget’s disease of bone)治療停經後婦女的骨質疏鬆症，以降低發生髖關節、脊椎與非脊椎性骨折的機率，並增加骨密度。男性骨質疏鬆症之治療，以增加骨密度。Aclasta適用於治療及預防男性與女性因 ...後略，請點選【藥品仿單】分頁查閱,ACLASTA
ACT01I,Actemra 200mg/10ml vial#,Tocilizumab,安挺樂,L04AC07,注射藥,,冰箱(針劑),1. 類風濕性關節炎(RA) ：合併methotrexate (MTX)用於治療成年人中度至重度類風濕性關節炎，曾使用一種或一種以上之DMARD藥物治療或腫瘤壞死因子拮抗劑(TNF antagonist)治療而反應不佳或無法耐受的病人。在這些病人中 ...後略，請點選【藥品仿單】分頁查閱,ACTEMRA
ACT01O,Actos 30mg Tab#,PIOGLITAZONE HYDROCHLORIDE,愛妥糖(白色圓扁形)錠,A10BG03,口服藥,,口服,第２型糖尿病患者（非胰島素依賴型糖尿病，ＮＩＤＤＭ）。,ACTOS
ACT02I,Actilyse 50mg/50ml Vial#,RECOMBINANT HUMAN TISSUE-TYPE PLASMINOGE,栓體舒,B01AD02,注射藥,,針劑,急性冠狀動脈栓塞之血栓溶解、急性大片肺栓塞、急性缺血性中風之血栓溶解。,ACTILYSE
ACT02O,ACTEIN Effervescent 600mg Tab,ACETYLCYSTEINE,愛克痰發泡(白色圓扁型)錠600毫克,R05CB01,口服藥,,口服,減少呼吸道粘膜分泌的粘稠性、蓄意或偶發之 ACETAMINOPHEN中毒之解毒劑。,ACTEIN
ACT03I,Actrapid HM(RI) 1000iu/10ml Vial,HUMAN INSULIN (REGULAR),愛速基因人體胰島素,A10AB01,注射藥,,冰箱(針劑),糖尿病。,ACTRAPID
ACT06O,Actein  Granules 200mg/3gm Pack,ACETYLCYSTEINE,愛克痰,R05CB01,口服藥,,口服,減少呼吸道黏膜分泌物的粘稠性。,ACTEIN
ACT07I,Actemra 80mg/4ml vial#,Tocilizumab,安挺樂,L04AC07,注射藥,,冰箱(針劑),1. 類風濕性關節炎(RA) ：合併methotrexate (MTX)用於治療成年人中度至重度類風濕性關節炎，曾使用一種或一種以上之DMARD藥物治療或腫瘤壞死因子拮抗劑(TNF antagonist)治療而反應不佳或無法耐受的病人。在這些病人中 ...後略，請點選【藥品仿單】分頁查閱,ACTEMRA
ACT08I,ACTEMRA 162mg/0.9ml Pen#,Tocilizumab,安挺樂皮下注射劑,L04AC07,注射藥預設一份,,冰箱(針劑),1.1類風濕性關節炎(RA)Actemra合併methotrexate (MTX)可用於治療成年人中度至重度類風濕性關節炎，曾使用一種或一種以上之DMARD藥物治療或腫瘤壞死因子拮抗劑(TNF antagonist)治療而反應不佳或無法耐受的病人。在這些 ...後略，請點選【藥品仿單】分頁查閱,ACTEMRA
ACY02O,Acylo 400mg Tab,ACYCLOVIR,克庖疹(粉紅色不規則形)錠,J05AB01,口服藥,,口服,帶狀?疹病毒引起之感染、單純?疹病毒引起之皮膚黏膜感染、預防骨髓移植及白血病所引起之免疫不全病人之單純?疹感染、復發性單純?疹感染之抑制、水痘之感染。,ACYLO
ACZ01E,Aczo Gel 5% 10gm Tube,BENZOYL PEROXIDE 5%,雅若凝膠,D10AE01,外用預設一份,,外用,治療尋常性痤瘡。,ACZO
ADD01I,Addaven 10ml amp,"CR,CU,I,MN,TRACE ELEMENTS:ZN",微達穩注射液,B05XA31,全靜脈營養製劑,,TPN,使用於接受靜脈營養補充的病人，以滿足基本微量元素需求,ADDAVEN
ADE01I,Adenocor 6mg/2ml Vial,ADENOSINE,安室律,C01EB10,注射藥,,針劑,治療陣發性上心室心搏過速、輔助診斷ＱＲＳ波變寬或變窄之複雜性上心室心搏過速,ADENOCOR
ADE01O,Adempas FC 2mg Tab#,Riociguat,愛定保肺膜衣錠(淡橘色圓形雙凸錠)2.0毫克,C02KX05,口服藥,,口服,1.慢性血栓栓塞性肺高壓(CTEPH， WHO Group 4)：用於治療無法手術之CTEPH成人病患及接受手術治療後仍持續發生或復發之CTEPH成人病患，以改善運動能力及改善WHO功能層級。2.肺動脈高血壓(PAH， WHO Group 1)：用於治療 ...後略，請點選【藥品仿單】分頁查閱,ADEMPAS
ADE02O,ADEMPAS FC 2.5mg Tab#,Riociguat,愛定保肺膜衣錠(橘紅色圓形雙凸錠)2.5毫克,C02KX05,口服藥,,口服,1.慢性血栓栓塞性肺高壓(CTEPH， WHO Group 4)：用於治療無法手術之CTEPH成人病患及接受手術治療後仍持續發生或復發之CTEPH成人病患，以改善運動能力及改善WHO功能層級。2.肺動脈高血壓(PAH， WHO Group 1)：用於治療 ...後略，請點選【藥品仿單】分頁查閱,ADEMPAS
ADR02I,Adrenalin 1mg/1ml Amp,EPINEPHRINE,安得理那寧,C01CA24,注射藥,,針劑,過敏反應引起之休克，呼吸道痙攣或喉頭水腫，心跳停止之急救，支氣管性氣喘。,ADRENALIN
ADV01O,Advagraf PR 0.5mg Cap,TACROLIMUS,安瑞福(淡黃/橘色長圓柱形)持續性藥效膠囊0.5毫克,L04AD02,口服藥,,口服,成人肝、腎移植之第一線用藥或成人肝、腎移植Cyclosporin無效之第二線用藥。,ADVAGRAF
ADV02O,ADVAGRAF PR 1mg Cap,TACROLIMUS,安瑞福(白色/橘色長圓柱形)持續性藥效膠囊1毫克,L04AD02,口服藥,,口服,成人肝、腎移植之第一線用藥或成人肝、腎移植Cyclosporin無效之第二線用藥。,ADVAGRAF
ADV03O,ADVAGRAF PR 5mg Cap,TACROLIMUS,安瑞福(灰紅/橘色長圓柱形)持續性藥效膠囊5毫克,L04AD02,口服藥,,口服,成人肝、腎移植之第一線用藥或成人肝、腎移植Cyclosporin無效之第二線用藥。,ADVAGRAF
AET02I,Aethoxysklerol 20mg/2ml amp,Polidocanol,,C05BB02,醫師零購藥品,,針劑,,AETHOXYSKLEROL
AFI01O,Afinitor 5mg Tab#,EVEROLIMUS,癌伏妥錠(白色長柱型錠)5毫克,L01EG02,口服化學治療藥物,,口服,AFINITOR 合併exemestane 適用於治療荷爾蒙接受體陽性、HER2 受體陰性且之前使用過letrozole 或anastrozole 復發或惡化之停經後晚期乳癌患者。AFINITOR 適用於進展性，無法切除或轉移性分化良好或中度分化(well-diff ...後略，請點選【藥品仿單】分頁查閱,AFINITOR
AGG01I,Aggrastat 12.5mg/50ml Vial#,TIROFIBAN HCL,雅瑞,B01AC17,注射藥,,針劑,AGGRASTAT併用heparin，可用於預防不穩定心絞痛病人或非Q波之心肌梗塞病人（非ST波段上昇之急性冠心症，NSTE-ACS）發生缺血性心臟病發作，及用於預防患有冠狀動脈缺血症狀而須接受經皮冠狀動脈介入性治療(PCI)的病人發生治療冠狀動脈突然閉塞時所造成的缺血性心臟併發症。,AGGRASTAT
AGG02I,Agglutex 25000iu/5ml Vial,HEPARIN SODIUM,亞魯特注射液,B01AB01,注射藥,,針劑,血栓性栓塞症及其預防、抗凝血,AGGLUTEX
AGR01O,Agrylin 0.5mg Cap#,ANAGRELIDE (HCL),安閣靈(白色長圓柱形)膠囊,L01XX35,口服藥,,口服,原發性血小板過多症。,AGRYLIN
AJO01I,Ajovy 225mg/1.5ml Pen,FREMANEZUMAB,艾久維注射液,N02CD03,外用預設一份,,冰箱(針劑),預防成人偏頭痛。,AJOVY
AKU01O,AKuriT-3 275/75/150 Tab#,"ETHAMBUTOL HCL,ISONIAZID,RIFAMYCIN",立剋核膜衣錠(三合一),J04AC51,口服藥,,口服,結核病,AKURIT-3
AKU02O,AKuriT-4 275/75/400/150 Tab#,"ETHAMBUTOL,ISONIAZID,PYRAZINAMIDE,Rifamp",立剋核-4 膜衣錠(四合一),J04AM06,口服藥,,口服,結核病,AKURIT-4
AKY01O,Akynzeo 300/0.5 mg Cap,"Netupitant,PALONOSETRON",嘔可舒(白色/褐色長圓柱形)膠囊,A04AA55,口服藥,,口服,AKYNZEO適用於預防起始及反覆癌症化學療法(不僅限於高致吐性化學療法)引起之急性及延遲性噁心和嘔吐。AKYNZEO是一種含有palonosetron與netupitant的口服固定複方藥物，palonosetron可預防癌症化學療法後的急性期噁心與嘔吐，netupitant可預防急性期與延遲期的噁心與嘔吐。,AKYNZEO
ALC02E,Alcos-Anal Supp,SOD. OLEATE,益痔康栓劑,C05AX03,外用藥,,外用,痔瘡。,ALCOS-ANAL
ALC03E,Alcaine 0.5% 15ml,PROPARACAINE,愛爾卡因,S01HA04,外用預設一份,Proparacaine Oph 5mg/ml 15ml Bot,冰箱(外用),適用於需要快速及短時間之眼科用表面麻醉劑,ALCAINE
ALC04E,Alcos-Anal Oint 20gm,SOD. OLEATE,益痔康軟膏,C05AX03,外用預設一份,,外用,痔瘡。,ALCOS-ANAL
ALC16E,Alcohol 75% 4L/Bot,ALCOHOL,酒精75%,D08AX08,處置用藥,,外用,肌膚及手部清潔、消毒、殺菌。,ALCOHOL
ALC17E,Alcohol 75% 200mL,ALCOHOL,酒精75%,D08AX08,外用預設一份,,外用,肌膚及手部清潔、消毒、殺菌。,ALCOHOL
ALC19E,Alcohol 95% 4L,ALCOHOL,,無,鎖檔,,外用,,ALCOHOL
ALD03E,Aldara Cream 5% 250mg,IMIQUIMOD,樂得美乳膏,D06BB10,外用預設一份,,外用,治療成人生殖器外部的疣，肛門周圍的疣和濕性尖疣。,ALDARA
ALE01I,Aleviatin 250mg/5ml Amp,PHENYTOIN SODIUM,阿雷彼阿慶注射液,N03AB02,注射藥,,針劑,大發作型癲癇之控制、預防及治療神經外科手術所引起之癲癇發作。,ALEVIATIN
ALE01O,Alecensa 150mg Cap,Alectinib HCl,安立適(白色圓柱形)膠囊,L01ED03,口服化學治療藥物,,口服,ALECENSA適用於治療ALK陽性的晚期非小細胞肺癌(NSCLC)患者。,ALECENSA
ALF01O,Alfacalcidol 0.5mcg Cap,ALFACALCIDOL,愛康鈣(淡橙色透明)軟膠囊,A11CC03,口服藥,,口服,慢性腎衰竭引起之低血鈣症、副甲狀腺機能低下症、維生素Ｄ抵抗性佝僂病、骨軟化症、骨質疏鬆症。,ALFACALCIDOL
ALF03I,Alfentanil PPCD 1mg/2ml Amp #2,ALFENTANIL HCL,阿華吩坦尼注射液,N01AH02,成隱性麻醉藥,,管2,短效麻醉性止痛劑及麻醉誘導劑。,ALFENTANIL
ALG01O,Algitab Chewable Tab#,"ALGINIC ACID, MGCO3, AL(OH)3, ETC",艾胃逆服(白色圓扁形)咀嚼錠,A02AX,口服藥,,口服,逆流性食道炎、裂孔赫尼亞、胃灼熱、胃及十二指腸潰瘍、胃酸過多。,ALGITAB
ALG01S,Alginos Oral Suspension 210ml/Bot,"ALGINATE SODIUM,CALCIUM CARBONATE,SODIUM",胃逆舒口服懸浮液,A02AX,口服分裝藥,,外用,緩解胃酸及膽汁反流入食道中所產生之疼痛。,ALGINOS
ALG02O,Acamprosate Calcium 333mg Tab,ACAMPROSATE CALCIUM,戒酒妥(白色雙凸圓形)腸溶錠,N07BB03,口服藥,,口服,適用於酒精成癮之輔助治療，協助已達戒酒狀態之酒精依賴病人於治療初期維持戒酒，應與社會心理治療併用。,ACAMPROSATE
ALI01O,Alinamin-F 50 S.C. Tab#,"Thiamine, Riboflavin",合利他命F50(黃色圓凸形)糖衣錠,A11JA,口服藥,,口服,神經炎、維生素Ｂ１缺乏諸症、神經痛、術後腸管麻痺、眼睛疲勞、神經性膀胱炎,ALINAMIN-F
ALK01O,Alkeran 2mg Tab#,MELPHALAN,威克瘤(白色圓扁形)錠劑,L01AA03,鎖檔,,冰箱(口服),多發性骨髓瘤．卵巢癌．真性紅血球過多症．,ALKERAN
ALL01S,All-Right Calcium Susp 180ml Bot#,"CALCIUM PHOSPHATE TRIBASIC,VIT A,VIT D3",優乳鈣乳劑,A12AX,口服分裝藥,,外用,鈣及維生素Ａ、Ｄ缺乏症之治療。,ALL-RIGHT
ALL02O,Allegra 60mg Tab,FEXOFENADINE HCL,艾來(淡紅橙橢圓形)錠劑,R06AX26,口服藥,,口服,緩解成人及六歲以上兒童的季節性過敏性鼻炎及慢性自發性蕁痲疹相關症狀。,ALLEGRA
ALO01I,Aloxi 0.25mg/5ml Vial#,PALONOSETRON,嘔立舒注射劑,A04AA05,注射藥,,針劑,成人預防化學療法引起之噁心和嘔吐。˙中度致嘔性癌症化學療法--預防起始及反覆療程引起之急性及延遲性噁心和嘔吐。˙高度致嘔性癌症化學療法--預防起始及反覆療程引起之急性噁心和嘔吐。兒童與青少年(1 個月大至17  ...後略，請點選【藥品仿單】分頁查閱,ALOXI
ALP02E,Alphagan P Oph Soln 0.15% 5ml,BRIMONIDINE TARTRATE,艾弗目P無菌眼用液劑,S01EA05,外用預設一份,,外用,隅角開放性青光眼或高眼壓。,ALPHAGAN
ALU02O,Aluminum Hydroxide 324mg Tab,AL(OH)3,氫氧化鋁膠(白色圓扁形)錠,A02AB01,口服藥,,口服,緩解胃部不適或灼熱感、或經診斷為胃及十二指腸潰瘍、胃炎、食道炎所伴隨之胃酸過多,ALUMINUM
ALV01I,Alvosteo 20mcg/80mcl; 28d,TERIPARATIDE,艾歐骨得注射液,H05AA02,注射藥,,冰箱(針劑),Alvosteo適用於治療成人之下列適應症：1.停經後婦女骨質疏鬆症具高度骨折風險者2.男性原發性或次發於性腺功能低下症之骨質疏鬆症且高度骨折風險者3.女性及男性因糖化皮質類固醇治療引起之骨質疏鬆症且具高度骨折風險者。,ALVOSTEO
AMA02O,Amaryl 2mg Tab#,GLIMEPIRIDE,瑪爾胰(淺墨綠8字形)錠劑,A10BB12,口服藥,,口服,非胰島素依賴型（第２型）糖尿病。,AMARYL
AMA03O,AMARYL M 2/500mg Tab#,"Glimepiride,Metformin HCL",美爾胰膜衣錠 2/500 毫克,A10BD02,口服藥,,口服,治療以glimepride或metformin單一藥物療法仍無法達到適當的血糖控制之第二型糖尿病患者，作為飲食和運動之外的輔助。不適合作第一線治療。,AMARYL
AMB01I,Ambisome 50mg Vial#,(AMPHOTERICIN B) LIPOSOME,脂黴素微脂粒乾粉注射劑,J02AA01,注射藥,,針劑,‧ 治療感染囊球菌腦膜炎的HIV患者‧ 治療嚴重全身性及/ 或深部黴菌感染‧ 治療臟器的利時曼氏病。在免疫不全且患有臟器的利時曼氏病之患者使用AmBisome治療，在初期寄生蟲清除後仍有高復發率。‧ 對發燒的重度嗜中性白血球缺乏症患者可能罹患黴菌感染症之經驗療法。,AMBISOME
AMI01O,Amizide Tab,"HYDROCHLOROTHIAZIDE, AMILORIDE HCL",安立壓(淡橙色圓扁形)錠,C03EA01,口服藥,,口服,利尿、高血壓,AMIZIDE
AMI12I,Aminopoly-H 500ml Bot,AMINO ACIDS,富安命注射液,B05BA01,注射藥,,針劑,肝昏迷時氨基酸之補給,AMINOPOLY-H
AMI13I,Aminosteril Infant 10% 100ml,AMINO ACIDS,阿米若靜脈輸注液10％,B05BA01,注射藥,,針劑,早產兒、嬰兒及部份腸外營養劑。（ＰＡＲＴＩＡＬ　ＰＡＲＥＮＴＥＲＡＬ　ＮＵＴＲＩＴＩＯＮ）．,AMINOSTERIL
AMI15I,Aminoven 15% 500ml Bot,Amino acid 15%,安敏芬15%輸注液,B05XB,全靜脈營養製劑,,TPN,腸外營養補充劑。,AMINOVEN
AMO01I,AmoClav 1.2g Vial,AMOXICILLIN+CLAVULANATE,艾莫斯克靜脈乾粉注射劑,J01CR02,注射藥,,針劑,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症。,AMOCLAV
AMO01O,Amoxicillin 250mg Cap YungShin,AMOXICILLIN,安莫西林(淡黃/紅色長圓柱形)膠囊,J01CA04,口服藥,,口服,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症,AMOXICILLIN
AMO05S,Amoxycillin Sandoz Susp 50mg/mL;100mL,AMOXICILLIN,,J01CA04,口服分裝藥,,外用,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症。,AMOXYCILLIN
AMP01O,Ampicillin 500mg Cap,AMPICILLIN,安比西林(鮮紅/中灰長圓柱形)膠囊500公絲,J01CA01,口服藥,,口服,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症,AMPICILLIN
AMP02I,Ampholipad 50mg Vial,(AMPHOTERICIN B) LIPOSOME,安畢黴微脂粒凍晶注射劑,J02AA01,注射藥,,針劑,‧ 治療感染囊球菌腦膜炎的HIV患者 ‧ 治療嚴重全身性及/ 或深部黴菌感染 ‧ 治療臟器的利時曼氏病。在免疫不全且患有臟器的利時曼氏病之患者使用 Amphotericin B Liposome for Injection治療，在初期寄生蟲清除後仍 ...後略，請點選【藥品仿單】分頁查閱,AMPHOLIPAD
AMP03I,Ampolin 500mg Vial,AMPICILLIN,安博黴素,J01CA01,注射藥,,針劑,葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他對青黴素具有感受性細菌引起之感染症,AMPOLIN
AMT01O,Amtrel Tab,"AMLODIPINE 5MG ,BENAZEPRIL 10MG",諾壓(白色圓扁形)錠,C09BB,口服藥,,口服,治療高血壓，此複方藥品不適合用於起始治療。,AMTREL
AND01O,Androcur 50mg Tab#,CYPROTERONE ACETATE,安得卡(白色圓扁形)錠劑,G03HA01,口服化學治療藥物,,口服,女性：嚴重的男性化徵狀、青春痘、多毛症。僅適用無其他治療選項或以其他治療方式無效時方能使用。男性：1. 嚴重性慾過強。僅適用無其他治療選項或以其他治療方式無效時方能使用。2. 抗雄性素治療前列腺腫瘤。,ANDROCUR
ANE03I,Anexate 0.5mg/5ml Amp#,FLUMAZENIL,安易醒,V03AB25,注射藥,,針劑,用於麻醉及加護病房時回轉ＢＥＮＺＯＤＩＡＺＥＰＩＮＥ之中樞鎮靜作用,ANEXATE
ANG02I,Angidil 10mg/10ml Amp,ISOSORBIDE DINITRATE,怡心通注射液,C01DA08,注射藥,,針劑,治療狹心症發作。,ANGIDIL
ANO01E,Anoro Ellipta 55/22mcg inhalation; 30d,"UMECLIDINIUM,VILANTEROL",安肺樂易利達 55/22 mcg 乾粉吸入劑,R03AL03,外用分裝藥,,外用,慢性阻塞性肺病(COPD)患者之氣道阻塞症狀的維持治療,ANORO
ANP01I,Anpo 50mg/5ml Amp,RITODRINE HCL,安寶,G02CA01,注射藥,,針劑,預防早產、流產。惟僅適用於可密切監測心血管不良反應相關症狀與檢驗數值之住院懷孕婦女。,ANPO
ANP01O,Anpo 10mg Tab,RITODRINE HCL,安寶(白色圓扁形)錠劑,G02CA01,口服藥,,口服,預防早產、流產。,ANPO
ANT01I,Antifect 1g Vial#,CEFEPIME,革菌素注射劑,J01DE01,注射藥,,針劑,對Cefepime具感受性之細菌性感染症。,ANTIFECT
ANT02E,Antigerm Sol 40mg/ml 5L Bot,CHLORHEXIDINE GLUCONATE,抑平菌殺菌液40公絲/公撮,D08AC02,處置用藥,,外用,一般外用消毒劑，可當作初步傷口處理。,ANTIGERM
ANT03I,Antivenin of D. acutus(Lyophilized),ANTIVENIN,抗百步蛇毒血清凍晶注射劑,J06AA03,注射藥,,冰箱(針劑),對百步蛇咬傷有特異性之治療效果,ANTIVENIN
ANT04E,Antol Eye drops 1% 5ml Bot,ATROPINE SULFATE,安妥眼藥水1%,S01FA01,外用預設一份,,外用,散瞳、睫狀肌麻痺。,ANTOL
ANT06I,Antivenin of B.multicincutus and N.naga,ANTIVENIN,抗雨傘節及飯匙倩蛇毒血清凍晶注射劑,J06AA03,注射藥,,冰箱(針劑),對雨傘節及飯匙倩毒蛇咬傷有特異性之治療效果,ANTIVENIN
ANT06O,Antibiophilus 250mg Cap#,LACTOBACILLUS CASEI RHAMNOSUS,阿德比(白色/白色長圓柱形)膠囊,A07FA01,口服藥,,口服,緩解輕度腹瀉、腹痛及便秘、整腸(調整排便)、軟便。,ANTIBIOPHILUS
ANT07I,Antivenin of Tr.mucrosqamatus and Tr.gra,ANTIVENIN,抗龜殼花及赤尾鮐蛇毒血清凍晶注射劑,J06AA03,注射藥,,冰箱(針劑),對龜殼花及赤尾鮐毒蛇咬傷有特異性之治療效果,ANTIVENIN
ANT09S,Anti-Phen 24mg/ml; 60ml#,ACETAMINOPHEN,安佳熱,N02BE01,口服分裝藥,,外用,退燒、止痛(緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛),ANTI-PHEN
ANX01I,Anxicam 2mg/1ml Amp #4,LORAZEPAM,安心平注射液,N05BA06,管四非麻醉藥,,管4,焦慮狀態,ANXICAM
API01I,Apidra SoloStar 300 iu/3ml#,INSULIN GLULISINE,愛胰達注射劑,A10AB06,注射藥,,冰箱(針劑),糖尿病。,APIDRA
APO01O,Apo-Atomoxetine 25mg Cap,ATOMOXETINE,安保思定(白/藍長圓柱形)膠囊,N06BA09,口服藥,,口服,注意力缺損／過動症（ADHD）。,APO-ATOMOXETINE
APO04O,APO-ATOMOXETINE 40MG CAP,ATOMOXETINE,安保思定(藍色長圓柱形)膠囊,N06BA09,口服藥,,口服,注意力缺損／過動症（ADHD）。,APO-ATOMOXETINE
APR06O,Aprezin 10mg Tab,HYDRALAZINE,壓平利淨(黃色圓扁形)錠,C02DB02,口服藥,,口服,高血壓,APREZIN
AQU02E,Aqua Easy Antiseptic Soln 2% 200mL Bot,CHLORHEXIDINE GLUCONATE,克菌寧殺菌水溶液,D08AC02,外用預設一份,,外用,手術前手部消毒、病房手部消毒、病人手術前皮膚消毒。,AQUA
ARA01O,Arax 25mg Tab,HYDROXYZINE,克胺寧(白色圓凸形)錠,N05BB01,口服藥,,口服,焦慮狀態、嘔吐、過敏疾患,ARAX
ARE02I,RSV Arexvy (自費) Vaccine GSK,RSV ANTIGEN,欣剋融呼吸道融合病毒疫苗,J07BX05,注射藥預設一份,,冰箱(針劑),"適用於下列成人之主動免疫接種，以預防呼吸道融合病毒所引起的下呼吸道疾病(lower respiratory tract disease, LRTD)。 １、60 歲以上成人。 ２、發生RSV 疾病風險較高之50 至59 歲成人。",RSV
ARH01O,Arheuma 20mg Tab#,LEFLUNOMIDE,雅努麻(白色三角菱型)錠20毫克,L04AA13,口服藥,,口服,治療成人類風濕性關節炎，並可能減緩類風濕病程對關節所造成之結構性損害(即屬於DMARD disease modifying antirheumatic drug)。治療具活動性的成人乾癬性關節炎。,ARHEUMA
ARI02O,Arimidex 1mg Tab#,ANASTROZOLE,安美達(白色圓扁形)錠劑,L02BG03,口服化學治療藥物,,口服,治療停經後婦女晚期乳癌。其療效對於雌激素接受器陰性之病人尚未被證實，除非這些病人曾經對TAMOXIFEN有陽性反應。輔助治療停經後婦女且荷爾蒙接受器為陽性的早期侵犯性乳癌。輔助治療已使用tamoxifen 2-3年之停經後婦女且荷爾蒙接受器為陽性的早期乳癌。,ARIMIDEX
ARI03O,Aricept 10mg Tab#,DONEPEZIL HCL,愛憶欣(黃色圓形)膜衣錠,N06DA02,口服藥,,口服,阿滋海默症。,ARICEPT
ARO01O,Aromasin 25mg Tab#,EXEMESTANE,諾曼癌素(白色圓凸形)糖衣錠,L02BG06,口服化學治療藥物,,口服,具有雌激素受體陽性之停經婦女，使用Tamoxifen至少2年之早期侵犯性乳癌的輔助治療。已接受抗雌激素而無效之停經婦女晚期乳癌。,AROMASIN
ART01E,Artiss solution for Sealant 2ml/Syringe,"Human Thrombin, Calcium Chloride, Aproti",愛締絲低溫冷凍密合劑溶液,B02AB01,外用預設一份,,冰箱(外用),Artiss用於將自體移植皮膚粘合在經外科處理過的燒燙傷創面，可適用於成人和兒童患者。Artiss之用途為臉部整形之除皺(facial rhytidectomy又稱face-lift)手術過程中的組織皮瓣粘合。Artiss不可作止血用途。,ARTISS
ART02E,Artelac Eye Drops 0.32% 10ml#,METHYLHYDROXYPROPYL CELLULOSE,愛特淚,S01XA20,外用預設一份,,外用,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,ARTELAC
