藥品代碼,商品名稱,藥品學名,藥品中文名,ATC_CODE1,藥品分類代碼說明,DC藥預設替代藥,盤點分類,衛署適應症,商品名
ZIN04I,Zinforo 600mg Vial,Ceftaroline,捷復寧注射劑,J01DI02,注射藥,,針劑,適用於治療新生兒、嬰兒、兒童、青少年及成人對ceftaroline fosamil具感受性菌種的社區性肺炎(CAP)及複雜性皮膚與軟組織感染(cSSTI)。,ZINFORO
ZIT01O,Zithromax 250mg Tab#,AZITHROMYCIN,日舒(白色長圓扁形)錠劑,J01FA10,口服藥,,口服,革蘭氏陽性、陰性及厭氧菌引起之下呼吸道感染（支氣管炎及肺炎）、皮膚及軟組織感染、中耳炎、上呼吸道感染和性傳染病。,ZITHROMAX
ZIT01S,Zithromax Susp 40mg/ml;15ml#,AZITHROMYCIN,日舒,J01FA10,口服分裝藥,,外用,革蘭氏陽性、陰性及厭氧菌引起之下呼吸道感染（包括支氣管炎及肺炎）皮膚及軟組織感染、中耳炎、上呼吸道感染和性傳染病。,ZITHROMAX
ZOD01I,Zodonic 4mg/5mL Vial,ZOLEDRONIC ACID MONOHYDRATE,羅立骨濃縮注射液,M05BA08,注射藥預設一份,,針劑,與標準癌症治療併用，適用於多發性骨髓瘤及固體腫瘤併有骨骼轉移之病人。用於攝護腺癌病人之骨骼轉移時，應至少接受過一種荷爾蒙治療而仍持續惡化者。治療惡性腫瘤之高血鈣併發症(HCM)。,ZODONIC
ZOL01I,Zoladex Depot 3.6mg Syringe#,GOSERELIN ACETATE,諾雷德,L02AE03,注射藥,,針劑,嚴重攝護腺癌之輔助治療，停經前或更年期婦女之乳癌治療，子宮內膜異位之治療、手術前薄化子宮內膜及縮小子宮肌瘤、人工協助生殖。,ZOLADEX
ZOL01O,Zolpidem FC 10mg Tab CYH #4,ZOLPIDEM HEMITARTRATE,柔拍(白色長柱形)膜衣錠,N05CF02,管四非麻醉藥,,管4,失眠症。,ZOLPIDEM
ZOL02I,ZOLADEX LA 10.8mg Syringe#,GOSERELIN ACETATE,諾雷德持續性注射劑,L02AE03,注射藥,,針劑,適用於攝護腺癌之治療。適用於停經前婦女之乳癌治療。,ZOLADEX
ZOL02O,Zoloft 50mg Tab,SERTRALINE HCL,樂復得(白色長圓柱形)錠劑,N06AB06,口服藥,,口服,鬱症、強迫症、恐慌症、創傷後壓力症候群(PTSD)及社交恐懼症及經前不悅症(PMDD Premenstrual Dysphoric Disorder)。,ZOLOFT
ZON01O,Zonegran FC 100 mg Tab,Zonisamide,佐能安膜衣(白色圓形)錠,N03AX15,口服藥,,口服,ZONEGRAN適用於新診斷成人局部癲癇發作之單一藥物治療及成人局部癲癇發作之輔助治療。ZONEGRAN適用於下列癲癇發作類型：局部發作 :1.單純性局部癲癇發作2.複雜性局部癲癇發作3.局部癲癇發作續發型之全身性強直-陣攣性發作,ZONEGRAN
ZOV01I,Zovirax 250mg Vial,ACYCLOVIR,熱威樂素,J05AB01,注射藥,,針劑,帶狀?疹病毒及單純?疹病毒引起之感染、預防骨髓移植及白血病所引起之免疫不全病人之單純?疹感染、新生兒單純?疹感染。,ZOVIRAX
ZUL01O,Zulitor 4mg Tab#,PITAVASTATIN,平脂(白色圓扁型)膜衣錠,C10AA08,口服藥,,口服,原發性高膽固醇血症及混合型血脂異常,ZULITOR
ZYP02I,Zyprexa 10mg Vial#,OLANZAPINE,金普薩凍晶注射劑,N05AH03,注射藥預設一份,,針劑,成人思覺失調症及成人雙極性第I型躁症之激動症狀。,ZYPREXA
ZYP02O,ZYPREXA ZYDIS 10mg Tab#,OLANZAPINE,津普速(淡黃色圓扁形)口溶錠,N05AH03,口服藥,,口服,思覺失調症及其他明顯有正性及/或負性之精神病，雙極性疾患之躁期發作，預防雙極性疾患之復發。,ZYPREXA
ZYV01I,Zyvox 600mg/300ml Bag#,LINEZOLID,采福適,J01XX08,注射藥,,針劑,「治療由下列感受性菌株感染的患者： Vancomycin 抗藥性的Enterococcus faecium感染，包括併發菌血症的病例。醫院感染的肺炎，由 Staphylococcus aureus（對 methicillin 有感受性和對methicillin有抗藥性的菌株）或 ...後略，請點選【藥品仿單】分頁查閱,ZYVOX
